Best L-test value: 7.60989871732

Latitude and longitude: 22.9038, 120.4642; model output: 0.109342872179
Latitude and longitude: 37.1450, 139.9462; model output: 0.710709191898
Latitude and longitude: 36.6262, 140.6077; model output: 0.523183173153
Latitude and longitude: 36.6955, 140.5798; model output: 0.514306027136
Latitude and longitude: 36.7025, 140.6040; model output: 0.099082899516
Latitude and longitude: 36.7017, 140.6215; model output: 0.132524742417
Latitude and longitude: 36.7713, 140.5760; model output: 0.338643557699
Latitude and longitude: 36.8237, 140.5673; model output: 0.726083288978
Latitude and longitude: 36.8678, 140.5600; model output: 0.931005693255
Latitude and longitude: 36.8365, 140.6092; model output: 0.258809635592
Latitude and longitude: 36.8462, 140.6362; model output: 0.452854416304
Latitude and longitude: 36.8732, 140.6738; model output: 0.067605704623
Latitude and longitude: 37.3947, 140.0572; model output: 0.0828936286563
Latitude and longitude: 36.9325, 140.6477; model output: 0.88332713201
Latitude and longitude: 37.1108, 140.4817; model output: 0.593891113319
Latitude and longitude: 37.0827, 140.5478; model output: 0.0756966623253
Latitude and longitude: 37.0448, 140.6563; model output: 0.5092788594
Latitude and longitude: 37.1043, 140.6053; model output: 0.241581593574
Latitude and longitude: 37.0858, 140.6715; model output: 0.0273769295503
Latitude and longitude: 36.9987, 140.7965; model output: 0.159807807586
Latitude and longitude: 37.7287, 139.9987; model output: 0.305781832671
Latitude and longitude: 37.7735, 139.9820; model output: 0.0518135092428
Latitude and longitude: 37.7735, 140.0078; model output: 0.272819285835
Latitude and longitude: 37.8057, 140.0272; model output: 0.491655230665
Latitude and longitude: 37.5798, 140.2895; model output: 0.276815799077
Latitude and longitude: 37.1325, 140.8695; model output: 0.212818507395
Latitude and longitude not available, model output: 0.563860558348
Latitude and longitude: 37.1770, 140.9068; model output: 0.768763328759
Latitude and longitude: 37.8430, 140.1485; model output: 0.820477986537
Latitude and longitude: 37.2447, 140.9025; model output: 0.462262232929
Latitude and longitude not available, model output: 0.980342247621
Latitude and longitude not available, model output: 0.595583252294
Latitude and longitude not available, model output: 0.860196940178
Latitude and longitude not available, model output: 0.912154596453
Latitude and longitude not available, model output: 0.507554128364
Latitude and longitude not available, model output: 0.27015899548
Latitude and longitude not available, model output: 0.892972188408
Latitude and longitude: 37.9073, 140.4272; model output: 0.355843841485
Latitude and longitude not available, model output: 0.351188027239
Latitude and longitude: 38.4172, 139.9308; model output: 0.742324224584
Latitude and longitude: 37.4662, 141.0458; model output: 0.190833400671
Latitude and longitude: 38.3532, 140.0618; model output: 0.410503237669
Latitude and longitude not available, model output: 0.59131650203
Latitude and longitude: 37.9810, 140.5608; model output: 0.228380017772
Latitude and longitude: 38.2897, 140.2297; model output: 0.0495863295494
Latitude and longitude: 38.5312, 139.9863; model output: 0.477891619646
Latitude and longitude: 38.1232, 140.4958; model output: 0.105187800914
Latitude and longitude not available, model output: 0.88246876416
Latitude and longitude: 38.4613, 140.1932; model output: 0.680505705549
Latitude and longitude: 38.0593, 140.6697; model output: 0.637934047189
Latitude and longitude not available, model output: 0.602196387032
Latitude and longitude not available, model output: 0.81904025161
Latitude and longitude not available, model output: 0.546345533066
Latitude and longitude not available, model output: 0.476314747057
Latitude and longitude not available, model output: 0.237490949221
Latitude and longitude not available, model output: 0.874828989181
Latitude and longitude not available, model output: 0.443418575228
Latitude and longitude not available, model output: 0.862904233653
Latitude and longitude: 38.4792, 140.5258; model output: 0.345955968588
Latitude and longitude: 38.2782, 140.7655; model output: 0.583055823273
Latitude and longitude not available, model output: 0.373764301838
Latitude and longitude not available, model output: 0.718234208828
Latitude and longitude: 38.3912, 140.7425; model output: 0.842580828049
Latitude and longitude not available, model output: 0.298278204772
Latitude and longitude not available, model output: 0.674688056934
Latitude and longitude not available, model output: 0.148331165126
Latitude and longitude: 38.6352, 140.6188; model output: 0.145138703448
Latitude and longitude not available, model output: 0.270453356918
Latitude and longitude not available, model output: 0.984534161467
Latitude and longitude not available, model output: 0.555724071896
Latitude and longitude not available, model output: 0.172509051266
Latitude and longitude: 38.8110, 140.6155; model output: 0.234542614984
Latitude and longitude: 38.3718, 141.1277; model output: 0.300789043915
Latitude and longitude: 38.9158, 140.5765; model output: 0.669772842645
Latitude and longitude: 38.7535, 140.7768; model output: 0.88321236063
Latitude and longitude: 38.9392, 140.6073; model output: 0.704217524815
Latitude and longitude: 38.8000, 140.8000; model output: 0.939913679654
Latitude and longitude: 38.4693, 141.1845; model output: 0.323401456056
Latitude and longitude: 38.8298, 140.8263; model output: 0.0998386453368
Latitude and longitude: 38.8960, 140.7953; model output: 0.0901447987242
Latitude and longitude: 38.2740, 141.5240; model output: 0.215890062192
Latitude and longitude: 38.8810, 140.8677; model output: 0.35761659876
Latitude and longitude: 39.4113, 140.3302; model output: 0.335747358597
Latitude and longitude: 38.9873, 140.8105; model output: 0.563926948339
Latitude and longitude: 38.9550, 140.9093; model output: 0.705514446648
Latitude and longitude: 38.9745, 140.9002; model output: 0.712900308489
Latitude and longitude: 39.0445, 140.8718; model output: 0.611406972943
Latitude and longitude: 39.0247, 140.9128; model output: 0.14957008309
Latitude and longitude: 39.1023, 140.8648; model output: 0.57168060758
Latitude and longitude: 39.6027, 140.3872; model output: 0.131471655583
Latitude and longitude: 39.5803, 140.4430; model output: 0.878946125516
Latitude and longitude: 39.5657, 140.4913; model output: 0.623135408164
Latitude and longitude: 39.1543, 140.9542; model output: 0.488546693209
Latitude and longitude: 39.1853, 140.9490; model output: 0.732564280235
Latitude and longitude: 39.1953, 140.9882; model output: 0.450098505234
Latitude and longitude not available, model output: 0.452217665353
Latitude and longitude not available, model output: 0.855200821069
Latitude and longitude: 39.5965, 140.6338; model output: 0.821122275301
Latitude and longitude: 39.8975, 140.3805; model output: 0.599396004514
Latitude and longitude not available, model output: 0.197899307884
Latitude and longitude not available, model output: 0.224954285994
Latitude and longitude not available, model output: 0.274513933849
Latitude and longitude: 40.0895, 140.3048; model output: 0.375229552368
Latitude and longitude not available, model output: 0.965801738435
Latitude and longitude not available, model output: 0.232164988116
Latitude and longitude not available, model output: 0.976167916804
Latitude and longitude not available, model output: 0.00537927780657
Latitude and longitude not available, model output: 0.400438754165
Latitude and longitude: 40.0433, 140.5363; model output: 0.589121058923
Latitude and longitude: 40.0505, 140.5518; model output: 0.666475117029
Latitude and longitude not available, model output: 0.768638736712
Latitude and longitude: 39.8375, 140.8500; model output: 0.12479080426
Latitude and longitude: 39.7938, 140.9272; model output: 0.0293641684106
Latitude and longitude not available, model output: 0.102199130751
Latitude and longitude: 39.8397, 140.9638; model output: 0.93586807199
Latitude and longitude not available, model output: 0.563386787231
Latitude and longitude not available, model output: 0.0487238727098
Latitude and longitude not available, model output: 0.159325137128
Latitude and longitude not available, model output: 0.973079307021
Latitude and longitude: 39.9122, 141.0377; model output: 0.172966840739
Latitude and longitude not available, model output: 0.187807325649
Latitude and longitude: 39.8718, 141.1468; model output: 0.279392883215
Latitude and longitude not available, model output: 0.548693026753
Latitude and longitude not available, model output: 0.750191973425
Latitude and longitude not available, model output: 0.745022703346
Latitude and longitude not available, model output: 0.436816173339
Latitude and longitude: 40.7175, 140.4540; model output: 0.65367203899
Latitude and longitude not available, model output: 0.458159775428
Latitude and longitude not available, model output: 0.391298674382
Latitude and longitude not available, model output: 0.444012056076
Latitude and longitude: 40.3038, 140.9842; model output: 0.58551435928
Latitude and longitude not available, model output: 0.25715791327
Latitude and longitude not available, model output: 0.709327929734
Latitude and longitude not available, model output: 0.696254485841
Latitude and longitude not available, model output: 0.576573498691
Latitude and longitude not available, model output: 0.903256481096
Latitude and longitude not available, model output: 0.500482225049
Latitude and longitude: 41.4177, 140.1088; model output: 0.476021508481
Latitude and longitude not available, model output: 0.510510474036
Latitude and longitude not available, model output: 0.560236690465
Latitude and longitude not available, model output: 0.722474035259
Latitude and longitude not available, model output: 0.775023654534
Latitude and longitude not available, model output: 0.97469515226
Latitude and longitude not available, model output: 0.164291548565
Latitude and longitude not available, model output: 0.110741613577
Latitude and longitude not available, model output: 0.267374319397
Latitude and longitude not available, model output: 0.752149294117
Latitude and longitude not available, model output: 0.762134530755
Latitude and longitude not available, model output: 0.602308861484
Latitude and longitude not available, model output: 0.193673161699
Latitude and longitude: 40.1345, 141.7938; model output: 0.0448317392574
Latitude and longitude not available, model output: 0.053105847231
Latitude and longitude not available, model output: 0.26006682658
Latitude and longitude not available, model output: 0.077277336037
Latitude and longitude not available, model output: 0.192997106737
Latitude and longitude: 41.2588, 140.8200; model output: 0.185697066117
Latitude and longitude not available, model output: 0.0490094382735
Latitude and longitude not available, model output: 0.495665104887
Latitude and longitude not available, model output: 0.713017380976
Latitude and longitude: 40.9317, 141.2670; model output: 0.719646025815
Latitude and longitude not available, model output: 0.469865239265
Latitude and longitude not available, model output: 0.131161356942
Latitude and longitude not available, model output: 0.761944252555
Latitude and longitude not available, model output: 0.494470668549
Latitude and longitude not available, model output: 0.319008157992
Latitude and longitude not available, model output: 0.567821541821
Latitude and longitude not available, model output: 0.374545273439
Latitude and longitude not available, model output: 0.277572445994
Latitude and longitude not available, model output: 0.0863209830492
Latitude and longitude not available, model output: 0.686557004537
Latitude and longitude: 42.1220, 140.4418; model output: 0.735732120405
Latitude and longitude not available, model output: 0.446990099577
Latitude and longitude not available, model output: 0.318306514754
Latitude and longitude not available, model output: 0.0852103344378
Latitude and longitude: 42.4365, 140.2578; model output: 0.835741591788
Latitude and longitude: 41.9288, 140.7590; model output: 0.164907807717
Latitude and longitude not available, model output: 0.873532415849
Latitude and longitude not available, model output: 0.096116110823
Latitude and longitude not available, model output: 0.498337919667
Latitude and longitude not available, model output: 0.172228526015
Latitude and longitude not available, model output: 0.329094064042
Latitude and longitude not available, model output: 0.180426926637
Latitude and longitude not available, model output: 0.119958194444
Latitude and longitude not available, model output: 0.713016660882
Latitude and longitude not available, model output: 0.46765588648
Latitude and longitude not available, model output: 0.747328343751
Latitude and longitude not available, model output: 0.711167032311
Latitude and longitude not available, model output: 0.251714223372
Latitude and longitude not available, model output: 0.407171571216
Latitude and longitude not available, model output: 0.676450790672
Latitude and longitude not available, model output: 0.377426378701
Latitude and longitude not available, model output: 0.245819123349
Latitude and longitude not available, model output: 0.981324927282
Latitude and longitude not available, model output: 0.697154354633
Latitude and longitude not available, model output: 0.00874498742825
Latitude and longitude: 42.5163, 140.8140; model output: 0.296349089324
Latitude and longitude: 42.5052, 140.8288; model output: 0.610893764191
Latitude and longitude: 42.5267, 140.8503; model output: 0.00180513496002
Latitude and longitude not available, model output: 0.242601912111
Latitude and longitude not available, model output: 0.80633535381
Latitude and longitude not available, model output: 0.807010641614
Latitude and longitude not available, model output: 0.549225717366
Latitude and longitude not available, model output: 0.793847329574
Latitude and longitude not available, model output: 0.820588046949
Latitude and longitude not available, model output: 0.105660930461
Latitude and longitude not available, model output: 0.0854242823591
Latitude and longitude not available, model output: 0.661776856074
Latitude and longitude not available, model output: 0.440777182756
Latitude and longitude not available, model output: 0.893440451036
Latitude and longitude not available, model output: 0.685985903708
Latitude and longitude not available, model output: 0.411960834711
Latitude and longitude not available, model output: 0.633662307217
Latitude and longitude not available, model output: 0.529267327504
Latitude and longitude not available, model output: 0.259477957858
Latitude and longitude not available, model output: 0.032569407405
Latitude and longitude not available, model output: 0.039713307425
Latitude and longitude not available, model output: 0.87505994097
Latitude and longitude not available, model output: 0.526609712722
Latitude and longitude not available, model output: 0.620206526396
Latitude and longitude not available, model output: 0.977152383394
Latitude and longitude not available, model output: 0.0794734908097
Latitude and longitude not available, model output: 0.573488089225
Latitude and longitude not available, model output: 0.189476674734
Latitude and longitude not available, model output: 0.842096384427
Latitude and longitude not available, model output: 0.0774717738402
Latitude and longitude not available, model output: 0.0893562899255
Latitude and longitude not available, model output: 0.125361558563
Latitude and longitude not available, model output: 0.0620456400433
Latitude and longitude not available, model output: 0.401793647026
Latitude and longitude not available, model output: 0.175840354632
Latitude and longitude not available, model output: 0.495450601472
Latitude and longitude not available, model output: 0.252113884637
Latitude and longitude: 42.9705, 141.4248; model output: 0.759820191536
Latitude and longitude not available, model output: 0.273411992165
Latitude and longitude not available, model output: 0.702989554533
Latitude and longitude not available, model output: 0.247912026127
Latitude and longitude not available, model output: 0.788752876887
Latitude and longitude not available, model output: 0.48095951069
Latitude and longitude not available, model output: 0.146766760115
Latitude and longitude not available, model output: 0.799534125459
Latitude and longitude not available, model output: 0.856449110233
Latitude and longitude not available, model output: 0.488967467838
Latitude and longitude not available, model output: 0.578237691465
Latitude and longitude not available, model output: 0.06750846451
Latitude and longitude not available, model output: 0.0970986516176
Latitude and longitude not available, model output: 0.415787033627
Latitude and longitude not available, model output: 0.414180601195
Latitude and longitude not available, model output: 0.0342381624957
Latitude and longitude: 42.2500, 142.5933; model output: 0.0310830941092
Latitude and longitude not available, model output: 0.590762045939
Latitude and longitude not available, model output: 0.4059682117
Latitude and longitude not available, model output: 0.902265999106
Latitude and longitude not available, model output: 0.111055431381
Latitude and longitude not available, model output: 0.348236496796
Latitude and longitude: 42.2043, 142.8105; model output: 0.982408264788
Latitude and longitude not available, model output: 0.466788634342
Latitude and longitude not available, model output: 0.523522095213
Latitude and longitude not available, model output: 0.822335262769
Latitude and longitude not available, model output: 0.357514684919
Latitude and longitude not available, model output: 0.23703324039
Latitude and longitude not available, model output: 0.368452837709
Latitude and longitude not available, model output: 0.590638680695
Latitude and longitude not available, model output: 0.323001449342
Latitude and longitude not available, model output: 0.927305281024
Latitude and longitude not available, model output: 0.0926204993142
Latitude and longitude not available, model output: 0.7566796706
Latitude and longitude not available, model output: 0.818919390639
Latitude and longitude not available, model output: 0.0804129900663
Latitude and longitude not available, model output: 0.946587312785
Latitude and longitude not available, model output: 0.274927145481
Latitude and longitude not available, model output: 0.171752051877
Latitude and longitude not available, model output: 0.746850923192
Latitude and longitude not available, model output: 0.151728354302
Latitude and longitude not available, model output: 0.578434516006
Latitude and longitude not available, model output: 0.941158874034
Latitude and longitude not available, model output: 0.147961713031
Latitude and longitude not available, model output: 0.832303954985
Latitude and longitude: 44.0763, 141.6583; model output: 0.372684069803
Latitude and longitude: 44.0605, 141.6995; model output: 0.579611869386
Latitude and longitude: 44.0990, 141.7067; model output: 0.161687666265
Latitude and longitude not available, model output: 0.959727301478
Latitude and longitude not available, model output: 0.544472947177
Latitude and longitude: 43.0982, 142.7295; model output: 0.440386688553
Latitude and longitude not available, model output: 0.181525482895
Latitude and longitude not available, model output: 0.980065666101
Latitude and longitude: 44.1210, 141.8513; model output: 0.59028069051
Latitude and longitude: 44.1648, 141.8368; model output: 0.623795977658
Latitude and longitude not available, model output: 0.160920608096
Latitude and longitude not available, model output: 0.506831874465
Latitude and longitude not available, model output: 0.956844933514
Latitude and longitude not available, model output: 0.657740925252
Latitude and longitude not available, model output: 0.889518489072
Latitude and longitude not available, model output: 0.305641051593
Latitude and longitude not available, model output: 0.0768759839243
Latitude and longitude not available, model output: 0.810814039936
Latitude and longitude not available, model output: 0.892385751789
Latitude and longitude not available, model output: 0.282701673341
Latitude and longitude not available, model output: 0.673044730613
Latitude and longitude: 44.5247, 141.8188; model output: 0.351220950584
Latitude and longitude not available, model output: 0.284851786268
Latitude and longitude not available, model output: 0.808027854074
Latitude and longitude not available, model output: 0.0179462137375
Latitude and longitude not available, model output: 0.178590020057
Latitude and longitude not available, model output: 0.0127777747395
Latitude and longitude not available, model output: 0.723996551996
Latitude and longitude: 43.4125, 143.0613; model output: 0.513730665101
Latitude and longitude not available, model output: 0.104648753968
Latitude and longitude not available, model output: 0.432561981208
Latitude and longitude not available, model output: 0.852045495274
Latitude and longitude not available, model output: 0.0490340330104
Latitude and longitude: 44.6042, 142.0788; model output: 0.659723999954
Latitude and longitude not available, model output: 0.076151660246
Latitude and longitude not available, model output: 0.35007496041
Latitude and longitude not available, model output: 0.340120443613
Latitude and longitude not available, model output: 0.411891163802
Latitude and longitude not available, model output: 0.930284225208
Latitude and longitude: 44.6473, 142.1942; model output: 0.0647661400776
Latitude and longitude not available, model output: 0.367049235326
Latitude and longitude: 45.0798, 141.8658; model output: 0.796787532894
Latitude and longitude: 45.0840, 141.8765; model output: 0.373819638977
Latitude and longitude: 44.8332, 142.1482; model output: 0.606638836756
Latitude and longitude: 44.8363, 142.1502; model output: 0.606109796353
Latitude and longitude not available, model output: 0.600382941191
Latitude and longitude not available, model output: 0.210004810077
Latitude and longitude not available, model output: 0.473295794797
Latitude and longitude not available, model output: 0.154162128417
Latitude and longitude not available, model output: 0.324372092445
Latitude and longitude not available, model output: 0.845970003503
Latitude and longitude not available, model output: 0.171214088205
Latitude and longitude not available, model output: 0.493221471052
Latitude and longitude: 43.7305, 143.4367; model output: 0.10191244297
Latitude and longitude not available, model output: 0.129725707029
Latitude and longitude not available, model output: 0.252626944216
Latitude and longitude not available, model output: 0.0597332300357
Latitude and longitude: 43.4235, 143.8437; model output: 0.475325562625
Latitude and longitude not available, model output: 0.583648613786
Latitude and longitude not available, model output: 0.277390001396
Latitude and longitude: 43.3320, 144.0425; model output: 0.348554218114
Latitude and longitude not available, model output: 0.289692925607
Latitude and longitude not available, model output: 0.592582468398
Latitude and longitude not available, model output: 0.712436990262
Latitude and longitude not available, model output: 0.642491272374
Latitude and longitude not available, model output: 0.648448226458
Latitude and longitude not available, model output: 0.659300844629
Latitude and longitude not available, model output: 0.125867655561
Latitude and longitude not available, model output: 0.170331307205
Latitude and longitude not available, model output: 0.96806380139
Latitude and longitude not available, model output: 0.675448470359
Latitude and longitude not available, model output: 0.226194872159
Latitude and longitude not available, model output: 0.119294327039
Latitude and longitude not available, model output: 0.805898524843
Latitude and longitude not available, model output: 0.0275714291322
Latitude and longitude not available, model output: 0.863246476794
Latitude and longitude not available, model output: 0.0355230114511
Latitude and longitude not available, model output: 0.677081452531
Latitude and longitude not available, model output: 0.553226703227
Latitude and longitude not available, model output: 0.0689418152166
Latitude and longitude not available, model output: 0.657031399212
Latitude and longitude not available, model output: 0.934060599328
Latitude and longitude not available, model output: 0.649359776641
Latitude and longitude not available, model output: 0.443888368148
Latitude and longitude not available, model output: 0.1082623188
Latitude and longitude not available, model output: 0.484502236231
Latitude and longitude not available, model output: 0.82029346998
Latitude and longitude: 43.5737, 144.5338; model output: 0.534114064713
Latitude and longitude not available, model output: 0.678327213104
Latitude and longitude not available, model output: 0.0398674525616
Latitude and longitude not available, model output: 0.00570882258235
Latitude and longitude not available, model output: 0.675754490205
Latitude and longitude not available, model output: 0.960588340317
Latitude and longitude not available, model output: 0.941448051169
Latitude and longitude: 43.6265, 144.6602; model output: 0.461032630744
Latitude and longitude not available, model output: 0.505295204199
Latitude and longitude not available, model output: 0.151830099911
Latitude and longitude not available, model output: 0.422680142389
Latitude and longitude not available, model output: 0.938882763176
Latitude and longitude not available, model output: 0.287703234637
Latitude and longitude: 43.7352, 144.7055; model output: 0.354676841463
Latitude and longitude: 43.6932, 144.7790; model output: 0.110674020787
Latitude and longitude not available, model output: 0.0249615083078
Latitude and longitude not available, model output: 0.344503093344
Latitude and longitude not available, model output: 0.868100491819
Latitude and longitude not available, model output: 0.115432419701
Latitude and longitude not available, model output: 0.436124544539
Latitude and longitude not available, model output: 0.192011990275
Latitude and longitude not available, model output: 0.617498666602
Latitude and longitude not available, model output: 0.628284996206
Latitude and longitude not available, model output: 0.936569775878
Latitude and longitude not available, model output: 0.401771217022
Latitude and longitude not available, model output: 0.774655036541
Latitude and longitude: 43.8830, 144.9167; model output: 0.0251686273068
Latitude and longitude not available, model output: 0.0547064382499
Latitude and longitude not available, model output: 0.953306033716
Latitude and longitude not available, model output: 0.352216453388
Latitude and longitude not available, model output: 0.125289243813
Latitude and longitude not available, model output: 0.92132908435
Latitude and longitude: 47.1240, 142.0983; model output: 0.612615883734
Latitude and longitude not available, model output: 0.825071059475
Latitude and longitude not available, model output: 0.89086349042
Latitude and longitude not available, model output: 0.329156009068
Latitude and longitude not available, model output: 0.232715531746
Latitude and longitude not available, model output: 0.409942868438
Latitude and longitude not available, model output: 0.225781871348
Latitude and longitude not available, model output: 0.423891513046
Latitude and longitude not available, model output: 0.43646128919
Latitude and longitude not available, model output: 0.267887144316
Latitude and longitude not available, model output: 0.282879790018
Latitude and longitude not available, model output: 0.395843059433
Latitude and longitude not available, model output: 0.803315850554
Latitude and longitude not available, model output: 0.397561073871
Latitude and longitude not available, model output: 0.187235297337
Latitude and longitude not available, model output: 0.836821722867
Latitude and longitude not available, model output: 0.667145991643
Latitude and longitude not available, model output: 0.148637681372
Latitude and longitude not available, model output: 0.216715748693
Latitude and longitude not available, model output: 0.275676689685
Latitude and longitude not available, model output: 0.163034428786
Latitude and longitude not available, model output: 0.451996743985
Latitude and longitude not available, model output: 0.66749152995
Latitude and longitude not available, model output: 0.601451256383
Latitude and longitude not available, model output: 0.0523943248903
Latitude and longitude not available, model output: 0.0497397650988
Latitude and longitude not available, model output: 0.446243580191
Latitude and longitude not available, model output: 0.0171841425016
Latitude and longitude not available, model output: 0.848186035861
Latitude and longitude not available, model output: 0.822629535501
Latitude and longitude not available, model output: 0.401466936403
Latitude and longitude not available, model output: 0.00253533429877
Latitude and longitude: 47.1630, 142.8265; model output: 0.643717366597
Latitude and longitude not available, model output: 0.364113037208
Latitude and longitude not available, model output: 0.961681734666
Latitude and longitude: 47.2330, 142.8447; model output: 0.138936160945
Latitude and longitude: 47.2133, 142.8688; model output: 0.247418805708
Latitude and longitude not available, model output: 0.563251916455
Latitude and longitude not available, model output: 0.131402848803
Latitude and longitude not available, model output: 0.431767781806
Latitude and longitude not available, model output: 0.720733334778
Latitude and longitude not available, model output: 0.46332906686
Latitude and longitude not available, model output: 0.68558146286
Latitude and longitude not available, model output: 0.833324622233
Latitude and longitude not available, model output: 0.90001096956
Latitude and longitude not available, model output: 0.870046599537
Latitude and longitude not available, model output: 0.944520250175
Latitude and longitude not available, model output: 0.223647326988
Latitude and longitude not available, model output: 0.235967468966
Latitude and longitude not available, model output: 0.810237621454
Latitude and longitude not available, model output: 0.124982081494
Latitude and longitude not available, model output: 0.10518001395
Latitude and longitude not available, model output: 0.126120308468
Latitude and longitude not available, model output: 0.174500264295
Latitude and longitude not available, model output: 0.588336048951
Latitude and longitude not available, model output: 0.547146321527
Latitude and longitude not available, model output: 0.166995234293
Latitude and longitude not available, model output: 0.157647367095
Latitude and longitude not available, model output: 0.433256221903
Latitude and longitude not available, model output: 0.845672185385
Latitude and longitude not available, model output: 0.190141257799
Latitude and longitude not available, model output: 0.230118861345
Latitude and longitude not available, model output: 0.326095472221
Latitude and longitude not available, model output: 0.596339303829
Latitude and longitude not available, model output: 0.728489713375
Latitude and longitude not available, model output: 0.218919724503
Latitude and longitude not available, model output: 0.204412962013
Latitude and longitude not available, model output: 0.227504388585
Latitude and longitude not available, model output: 0.274898339498
Latitude and longitude not available, model output: 0.924767205794
Latitude and longitude not available, model output: 0.452851840796
Latitude and longitude not available, model output: 0.277463308791
Latitude and longitude not available, model output: 0.80254672373
Latitude and longitude not available, model output: 0.366995811875
Latitude and longitude not available, model output: 0.312014236491
Latitude and longitude not available, model output: 0.132653816977
Latitude and longitude not available, model output: 0.721120501985
Latitude and longitude not available, model output: 0.0920372940736
Latitude and longitude not available, model output: 0.480246983648
Latitude and longitude not available, model output: 0.935099500976
Latitude and longitude not available, model output: 0.631875686103
Latitude and longitude not available, model output: 0.612968842626
Latitude and longitude not available, model output: 0.839284797833
Latitude and longitude not available, model output: 0.0132452154357
Latitude and longitude not available, model output: 0.971930405895
Latitude and longitude not available, model output: 0.788702243962
Latitude and longitude not available, model output: 0.812553042577
Latitude and longitude not available, model output: 0.943940798645
Latitude and longitude not available, model output: 0.350488995529
Latitude and longitude not available, model output: 0.306512149362
Latitude and longitude not available, model output: 0.573939345763
Latitude and longitude not available, model output: 0.0161600604954
Latitude and longitude not available, model output: 0.298950201911
Latitude and longitude not available, model output: 0.0778522813912
Latitude and longitude not available, model output: 0.97479735141
Latitude and longitude not available, model output: 0.140669134203
Latitude and longitude not available, model output: 0.229304617685
Latitude and longitude not available, model output: 0.59447920906
Latitude and longitude not available, model output: 0.31754821522
Latitude and longitude not available, model output: 0.161154818038
Latitude and longitude not available, model output: 0.181231175964
Latitude and longitude not available, model output: 0.589865890947
Latitude and longitude not available, model output: 0.123736720563
Latitude and longitude not available, model output: 0.472276992304
Latitude and longitude not available, model output: 0.381024536756
Latitude and longitude not available, model output: 0.683987206427
Latitude and longitude not available, model output: 0.968859517276
Latitude and longitude not available, model output: 0.245972884078
Latitude and longitude not available, model output: 0.523358224367
Latitude and longitude not available, model output: 0.463754285492
Latitude and longitude not available, model output: 0.0231180089079
Latitude and longitude not available, model output: 0.0419802853117
Latitude and longitude not available, model output: 0.559800384186
Latitude and longitude not available, model output: 0.971936519552
Latitude and longitude not available, model output: 0.938481649103
Latitude and longitude not available, model output: 0.124932280047
Latitude and longitude not available, model output: 0.187786190112
Latitude and longitude not available, model output: 0.50095776879
Latitude and longitude not available, model output: 0.619189247311
Latitude and longitude not available, model output: 0.686174654609
Latitude and longitude not available, model output: 0.373008921651
Latitude and longitude not available, model output: 0.00608127423101
Latitude and longitude not available, model output: 0.190083397502
Latitude and longitude not available, model output: 0.893777161851
Latitude and longitude not available, model output: 0.525242160241
Latitude and longitude not available, model output: 0.510491376369
Latitude and longitude not available, model output: 0.523771765003
Latitude and longitude not available, model output: 0.709135277244
Latitude and longitude not available, model output: 0.494758352909
Latitude and longitude not available, model output: 0.932786601698
Latitude and longitude not available, model output: 0.121776885781
Latitude and longitude not available, model output: 0.0547615577576
Latitude and longitude not available, model output: 0.357241526736
Latitude and longitude not available, model output: 0.326924273821
Latitude and longitude not available, model output: 0.130664968566
Latitude and longitude not available, model output: 0.153855105876
Latitude and longitude not available, model output: 0.283066642867
Latitude and longitude not available, model output: 0.621347770489
Latitude and longitude not available, model output: 0.340510420307
Latitude and longitude not available, model output: 0.987469719106
Latitude and longitude not available, model output: 0.92315920126
Latitude and longitude not available, model output: 0.778641879521
Latitude and longitude not available, model output: 0.236725882897
Latitude and longitude not available, model output: 0.111072607677
Latitude and longitude not available, model output: 0.492386803976
Latitude and longitude not available, model output: 0.569091328114
Latitude and longitude not available, model output: 0.607345371436
Latitude and longitude not available, model output: 0.549264951506
Latitude and longitude not available, model output: 0.855859695481
Latitude and longitude not available, model output: 0.226969155766
Latitude and longitude not available, model output: 0.134795407716
Latitude and longitude not available, model output: 0.0876188330493
Latitude and longitude not available, model output: 0.651478584487
Latitude and longitude not available, model output: 0.451216337935
Latitude and longitude not available, model output: 0.339882217216
Latitude and longitude not available, model output: 0.952119531034
Latitude and longitude not available, model output: 0.00364708135215
Latitude and longitude not available, model output: 0.4149461441
Latitude and longitude not available, model output: 0.642507051921
Latitude and longitude not available, model output: 0.856883645702
Latitude and longitude not available, model output: 0.66525640773
Latitude and longitude not available, model output: 0.826061621517
Latitude and longitude not available, model output: 0.293676917722
Latitude and longitude not available, model output: 0.310281768114
Latitude and longitude not available, model output: 0.53567696643
Latitude and longitude not available, model output: 0.99580521476
Latitude and longitude not available, model output: 0.406191875123
Latitude and longitude not available, model output: 0.452182305899
Latitude and longitude not available, model output: 0.826279388461
Latitude and longitude not available, model output: 0.162196992944
Latitude and longitude not available, model output: 0.716388356448
Latitude and longitude not available, model output: 0.739473027904
Latitude and longitude not available, model output: 0.644964697893
Latitude and longitude not available, model output: 0.111420416135
Latitude and longitude not available, model output: 0.807022057162
Latitude and longitude not available, model output: 0.569105862761
Latitude and longitude not available, model output: 0.874756599155
Latitude and longitude not available, model output: 0.393094805458
Latitude and longitude: 45.2197, 148.3245; model output: 0.0763777363215
Latitude and longitude not available, model output: 0.102305590052
Latitude and longitude not available, model output: 0.833372779215
Latitude and longitude not available, model output: 0.995384305047
Latitude and longitude not available, model output: 0.778673608693
